species,month,pounds_caught,year
northern anchovy,january,1135732,2000
california barracuda,january,8,2000
giant sea bass,january,85,2000
blacksmith,january,0,2000
pacific bonito,january,13618,2000
butterfish (pacific pompano),january,3,2000
cabezon,january,728,2000
white croaker,january,986,2000
california moray eel,january,0,2000
unspecified fish,january,122,2000
arrowtooth flounder,january,0,2000
starry flounder,january,5,2000
unspecified flounder,january,0,2000
flyingfish,january,0,2000
kelp greenling,january,0,2000
shovelnose guitarfish,january,1391,2000
halfmoon,january,0,2000
california halibut,january,17401,2000
unspecified halibut,january,36,2000
jacksmelt,january,0,2000
lingcod,january,0,2000
california lizardfish,january,36,2000
louvar,january,0,2000
pacific mackerel,january,1,2000
jack mackerel,january,0,2000
opah,january,97,2000
opaleye,january,0,2000
queenfish,january,0,2000
pacific electric ray,january,0,2000
bat ray,january,0,2000
pacific ocean perch rockfish,january,0,2000
black-and-yellow rockfish,january,0,2000
black rockfish,january,0,2000
blackgill rockfish,january,0,2000
blue rockfish,january,0,2000
bocaccio rockfish,january,51,2000
brown rockfish,january,0,2000
canary rockfish,january,0,2000
chilipepper rockfish,january,0,2000
copper rockfish,january,0,2000
cowcod rockfish,january,0,2000
gopher rockfish,january,0,2000
grass rockfish,january,0,2000
group bolina rockfish,january,0,2000
group canary/vermili rockfish,january,0,2000
group gopher rockfish,january,0,2000
group nearshore rockfish,january,0,2000
group red rockfish,january,0,2000
group rosefish rockfish,january,0,2000
group shelf rockfish,january,0,2000
group slope rockfish,january,0,2000
group small rockfish,january,0,2000
kelp rockfish,january,0,2000
rosethorn rockfish,january,0,2000
rosy rockfish,january,0,2000
splitnose rockfish,january,11,2000
starry rockfish,january,0,2000
treefish rockfish,january,0,2000
unspecified rockfish,january,47,2000
vermilion rockfish,january,0,2000
widow rockfish,january,0,2000
yellowtail rockfish,january,0,2000
sablefish,january,1877,2000
chinook salmon,january,0,2000
salmon,january,0,2000
sanddab,january,323,2000
pacific sardine,january,361879,2000
california scorpionfish,january,377,2000
white seabass,january,3628,2000
pacific angel shark,january,6880,2000
basking shark,january,0,2000
bigeye thresher shark,january,0,2000
blue shark,january,0,2000
brown smoothhound shark,january,285,2000
dusky shark,january,0,2000
gray smoothhound shark,january,0,2000
horn shark,january,0,2000
leopard shark,january,324,2000
pelagic thresher shark,january,0,2000
